ab:   abba
abcdefk:   feedback
abcdeit:   diabetic
abcdek:   backed
abcdekn:   backend
abcdeln:   balanced
abcdemr:   embraced
abcdenu:   abundance
abcdeor:   barcode
abcdhkr:   hardback
abcdimo:   cambodia
abcdkrw:   backward
abcdkry:   backyard
abcdor:   cardboard
abceg:   cabbage
abcegmu:   gamecube
abceh:   beach
abcehmr:   chamber
abcehr:   breach
abceilp:   applicable
abceilr:   caliber
abceinr:   caribbean
abceint:   cabinet
abceior:   aerobic
abceirt:   bacteria
abceklw:   blackwell
abcekmo:   comeback
abcekno:   backbone
abcekor:   brokeback
abcekpr:   paperback
abcekrt:   bracket
abcel:   cable
abcelmp:   campbell
abceln:   balance
abcelop:   placebo
abcelot:   collectable
abcelp:   capable
abcelpt:   acceptable
abcelr:   cerebral
abcelrt:   retractable, celebrate, bracelet
abcem:   became
abcemnr:   remembrance
abcemr:   embrace
abcemw:   webcam
abceno:   beacon
abcenr:   canberra
abcenrt:   cabernet
abcenry:   cranberry
abcer:   brace, rebecca
abcert:   cabaret
abceru:   barbecue
abceruy:   bureaucracy
abcfir:   fabric
abcgikn:   backing
abcgiln:   cabling, balancing
abcgilo:   biological
abch:   bach
abchkt:   hatchback
abchnr:   branch
abchnu:   buchanan
abcht:   batch
abcil:   biblical
abcilmo:   colombia
abcilno:   anabolic
abcilt:   baltic
abcimru:   cumbria
abcin:   cabin
abcinot:   antibiotic
abcinrt:   britannica
abcir:   arabic
abcjkl:   blackjack
abcjo:   jacob
abck:   back
abckl:   callback, black
abcklop:   blackpool
abcklpy:   playback
abcklt:   talkback
abckotu:   outback
abckp:   backpack
abckpu:   backup
abckrt:   trackback
abcln:   blanca, blanc
abclno:   blanco
abclnoy:   balcony
abclot:   cobalt
abcmot:   combat
abcno:   bacon
abcnor:   carbon
abcnu:   cuban
abco:   cabo, boca
abcor:   corba, cobra
abcort:   acrobat
abcot:   tobacco
abcr:   crab, carb
abcrt:   baccarat
abcu:   cuba
abde:   beaded, bead
abdeflt:   flatbed
abdeg:   badge
abdegir:   brigade
abdeglr:   belgrade
abdegno:   bondage
abdegr:   badger, grabbed
abdehor:   deborah
abdehrt:   breadth
abdehry:   hyderabad
abdei:   abide
abdeilu:   audible
abdein:   debian
abdek:   baked
abdel:   labelled, labeled, blade
abdelm:   blamed
abdeln:   enabled
abdelnp:   dependable
abdelor:   adorable
abdelr:   readable, bladder
abdelru:   durable
abdelry:   bradley
abdemru:   bermuda
abden:   banned
abdeno:   abandoned
abdenr:   brendan, brenda, branded, aberdeen, bernard
abdeo:   adobe
abdeor:   broader
abdeorw:   wardrobe
abder:   barred, debra, beard, bread
abdet:   debate
abdfor:   bradford
abdgh:   baghdad
abdghn:   handbag
abdginr:   branding
abdhjno:   handjob
abdhkno:   handbook
abdhru:   hubbard
abdhu:   buddha
abdilnw:   baldwin
abdilo:   diablo
abdilor:   billboard
abdilr:   billiard, bridal
abdilrz:   blizzard
abdiu:   dubai
abdl:   ballad, bald
abdlm:   lambda
abdln:   bland
abdlnor:   borland
abdlor:   labrador
abdlory:   broadly
abdloy:   ladyboy
abdlr:   ballard
abdlu:   abdul
abdly:   badly
abdn:   band
abdno:   abandon
abdnor:   onboard, brandon, broadband
abdnou:   audubon
abdnoy:   anybody
abdnr:   brand
abdnru:   durban
abdnry:   brandy
abdntu:   abundant
abdor:   aboard, abroad, broad, board
abdorwy:   broadway
abdr:   bard, brad
abdru:   barbuda
abdry:   darby, brady
abe:   babe
abefhl:   behalf
abefl:   fable
abeflpr:   preferable
abefort:   barefoot
abefruy:   february
abeg:   baggage
abeghim:   highbeam
abegiln:   labelling, belgian, labeling, enabling
abegilr:   gabriel
abeginr:   bearing
abegint:   beating
abegity:   gigabyte
abegkn:   genbank
abegkor:   brokerage
abeglm:   gamble
abegln:   bengal
abeglr:   algebra
abegltv:   vegetable
abegmoy:   gameboy
abegn:   began
abegpw:   webpage
abegr:   garbage
abegrv:   beverage
abehlpt:   alphabet
abehlr:   herbal
abehnt:   beneath
abehnty:   bethany
abehr:   rehab
abehrt:   heartbeat, breathe, breath
abehv:   behave
abeijmn:   benjamin
abeil:   liable
abeilmt:   timetable
abeilmw:   webmail
abeilr:   braille, liberia, liberal, reliable
abeilrt:   bilateral
abeilrv:   variable
abeilry:   reliably
abeilt:   albeit
abeilv:   viable, available
abeily:   bailey
abeimn:   ambien
abeimnt:   ambient
abeimwz:   zimbabwe
abein:   beanie
abeinor:   airborne
abeinrw:   webinar
abeint:   tibetan
abeir:   barrie, barbie, barrier
abeirtu:   attribute
abeirtz:   bizrate
abeirz:   bizarre
abejr:   jabber
abek:   bake
abekl:   blake
abeklmr:   remarkable
abeklnt:   blanket
abeknr:   banker
abekory:   yearbook
abekr:   breaker, barker, brake, baker, break
abekry:   bakery
abeku:   bukkake
abel:   bella, label, able
abelm:   blame
abelmor:   memorable
abelmov:   movable
abelmr:   marble
abelmrt:   lambert
abelmru:   umbrella
abeln:   nabble, enable
abelno:   boolean, lebanon
abelnot:   notable
abelnrw:   renewable
abelnu:   unable
abelopr:   probable
abelopt:   tabletop
abelort:   alberto, elaborate
abelovy:   volleyball
abelow:   allowable
abelpy:   payable
abelqru:   albuquerque
abelr:   barrel
abelrt:   bartlett, albert, alberta
abelrtw:   tableware
abelrv:   verbal
abelry:   barley, barely
abelrz:   blazer
abelt:   ballet, tablet, battle, table
abeltx:   taxable
abeluv:   valuable
abelz:   blaze
abem:   beam
abemnr:   membrane
abemnt:   abatement
abemr:   amber
abemy:   maybe
aben:   bean
abenqtu:   banquet
abenr:   brennan, banner
abenrt:   barnett
abenry:   barney, nearby
abent:   beaten
abenu:   buena
abeoprt:   probate
abeoqru:   baroque
abeov:   above
aber:   barre, barber, bare, bear
abert:   batter, barrett, rebate
abertx:   baxter
aberty:   battery
aberu:   bauer, bureau
aberv:   brave, beaver
aberw:   beware
abery:   bayer
aberz:   zebra
abet:   beat, beta
abetuy:   beauty
abeu:   beau
abey:   abbey, ebay
abflot:   football
abflou:   buffalo
abfmor:   abramoff
abfn:   banff
abghint:   bathing
abghmru:   hamburg
abgikn:   baking, banking
abgiknr:   barking
abgil:   abigail
abgilmn:   gambling
abgilnu:   bilingual
abgilrt:   gibraltar
abgilru:   bulgaria
abgiluz:   bugzilla
abgim:   gambia
abgin:   banning
abginot:   boating, obtaining
abginr:   bargaining, bargain
abgint:   batting
abgit:   gigabit
abgkno:   bangkok
abglno:   bologna
abglo:   global
abgloy:   globally
abglruy:   arguably
abgn:   gangbang, bang
abgno:   gabon
abgnor:   bangor
abgot:   tobago
abgr:   grab
abhinr:   bahrain
abhit:   habit, habitat
abhl:   blah
abhmort:   bathroom
abhmr:   abraham
abhntu:   bhutan
abhor:   harbor
abhort:   hobart
abhoru:   harbour
abht:   baht, bath
abiknru:   burkina
abikrt:   kiribati
abil:   alibaba, bail, bali
abilmox:   mailbox
abilmu:   malibu
abiln:   albanian, albania
abilno:   albion
